,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,zipcode,price,price_per_sqftlot,area_per_bhk
79,3,2,1170,7258,1.0,1984,98001,250000.0,34.444750620005514,2419.3333333333335
80,4,2,1540,7300,2.0,1973,98001,260000.0,35.61643835616438,1825.0
81,3,2,2170,10018,1.0,1978,98001,260000.0,25.953284088640448,3339.3333333333335
82,5,3,3860,42733,1.0,1955,98001,430000.0,10.06248098659116,8546.6
83,4,3,2900,6918,2.0,2001,98001,339000.0,49.00260190806591,1729.5
85,3,1,1140,9639,1.0,1967,98001,230000.0,23.861396410416017,3213.0
86,4,3,2200,9397,2.0,1987,98001,285000.0,30.328828349473238,2349.25
87,3,2,1820,19602,1.0,1964,98001,277500.0,14.156718702173247,6534.0
88,3,2,1630,8018,1.0,2003,98001,260000.0,32.42703916188576,2672.6666666666665
89,4,3,2480,8626,2.0,2001,98001,420000.0,48.690006955715276,2156.5
90,4,3,2060,7350,1.0,1978,98001,275000.0,37.414965986394556,1837.5
91,3,2,1560,8280,2.0,1979,98001,239950.0,28.979468599033815,2760.0
93,4,3,2060,16000,2.0,1993,98001,286000.0,17.875,4000.0
95,3,2,1390,8245,1.0,1984,98001,204900.0,24.851425106124925,2748.3333333333335
96,4,2,1580,8468,2.0,1971,98001,265000.0,31.294284364666982,2117.0
98,4,2,1700,7056,2.0,1999,98001,269500.0,38.19444444444444,1764.0
99,3,3,1830,4997,2.0,2004,98001,286651.0,57.364618771262755,1665.6666666666667
100,3,3,1770,8640,1.0,1986,98001,270000.0,31.25,2880.0
101,3,2,1770,7000,1.0,1986,98001,241000.0,34.42857142857143,2333.3333333333335
102,4,3,1740,7895,2.0,1999,98001,302000.0,38.25205826472451,1973.75
103,4,2,2050,7100,1.0,1963,98001,265000.0,37.32394366197183,1775.0
104,3,3,1720,6847,2.0,1987,98001,263000.0,38.410982912224334,2282.3333333333335
105,5,3,3220,8160,2.0,1999,98001,384000.0,47.05882352941177,1632.0
108,4,3,2163,5882,2.0,2006,98001,255000.0,43.35260115606936,1470.5
109,3,2,1600,10548,1.0,1962,98001,220000.0,20.857034508911642,3516.0
111,4,2,2270,18450,1.0,1961,98001,375000.0,20.32520325203252,4612.5
112,3,2,1580,14400,1.0,1981,98001,225000.0,15.625,4800.0
113,4,3,1560,8820,1.0,1979,98001,259900.0,29.467120181405896,2205.0
116,4,3,2160,8049,2.0,1988,98001,317000.0,39.3837743819108,2012.25
117,4,3,2610,4781,2.0,2009,98001,335000.0,70.06902321690023,1195.25
118,4,3,2140,10316,2.0,1993,98001,359500.0,34.848778596355174,2579.0
119,3,2,1330,9831,1.0,1987,98001,248000.0,25.22632489065202,3277.0
120,3,2,1780,10196,1.0,1967,98001,265000.0,25.990584542958022,3398.6666666666665
121,3,2,1210,8075,1.0,1983,98001,215000.0,26.625386996904023,2691.6666666666665
124,4,3,2434,4400,2.0,2007,98001,285000.0,64.77272727272727,1100.0
125,4,2,2190,14439,1.0,1977,98001,280000.0,19.391924648521364,3609.75
127,3,3,1600,2231,2.0,2003,98001,214000.0,95.92111160914388,743.6666666666666
128,3,3,2497,4400,2.0,2007,98001,275000.0,62.5,1466.6666666666667
132,3,2,1050,18304,1.0,1953,98001,250000.0,13.658216783216783,6101.333333333333
134,4,2,2810,25990,2.0,1959,98001,571500.0,21.98922662562524,6497.5
136,3,3,2507,18400,2.0,2006,98001,551870.0,29.992934782608696,6133.333333333333
138,4,2,2560,8927,1.0,1976,98001,303000.0,33.94197378738658,2231.75
139,2,1,1730,9610,1.0,1962,98001,200000.0,20.81165452653486,4805.0
140,3,2,1200,12000,1.0,1986,98001,219000.0,18.25,4000.0
141,3,1,1120,10665,1.0,1961,98001,225000.0,21.09704641350211,3555.0
142,4,3,2390,7056,2.0,1990,98001,360000.0,51.02040816326531,1764.0
143,2,1,840,6480,1.0,1954,98001,124500.0,19.212962962962962,3240.0
144,4,3,1610,4568,2.0,2006,98001,292500.0,64.0323992994746,1142.0
145,4,2,1850,7350,1.0,1965,98001,270000.0,36.734693877551024,1837.5
146,3,3,1590,9736,2.0,1985,98001,285000.0,29.27280197206245,3245.3333333333335
147,3,3,1560,4800,2.0,1974,98001,239950.0,49.989583333333336,1600.0
148,3,2,1560,7000,1.0,1968,98001,226500.0,32.357142857142854,2333.3333333333335
149,5,3,2670,9920,1.0,1990,98001,370000.0,37.29838709677419,1984.0
151,4,3,2550,7555,2.0,2001,98001,340000.0,45.00330906684315,1888.75
152,3,2,1360,7488,1.0,1975,98001,238000.0,31.784188034188034,2496.0
153,3,2,1660,13085,1.0,1985,98001,250000.0,19.105846388995033,4361.666666666667
154,3,2,1250,8084,1.0,1967,98001,209000.0,25.853537852548243,2694.6666666666665
155,3,2,1810,14400,1.0,1954,98001,229500.0,15.9375,4800.0
156,3,2,1880,30346,1.0,1988,98001,310000.0,10.215514400579977,10115.333333333334
157,3,1,1710,12000,1.0,1972,98001,255000.0,21.25,4000.0
158,4,3,2400,4596,2.0,2004,98001,280000.0,60.92254134029591,1149.0
159,3,3,1570,5113,1.0,1996,98001,256000.0,50.0684529630354,1704.3333333333333
160,3,2,1370,9800,1.0,1968,98001,246900.0,25.193877551020407,3266.6666666666665
161,2,2,870,18537,1.0,1946,98001,199950.0,10.786535038032044,9268.5
163,3,2,2100,8163,2.0,1984,98001,299900.0,36.73894401568051,2721.0
164,3,3,2380,9719,2.0,2001,98001,299999.0,30.86727029529787,3239.6666666666665
166,3,2,1460,15000,1.0,1966,98001,232000.0,15.466666666666667,5000.0
167,3,2,1410,10248,1.0,1985,98001,271920.0,26.533957845433257,3416.0
168,4,2,1400,8500,2.0,1975,98001,257000.0,30.235294117647058,2125.0
171,1,2,1150,9812,1.0,1962,98001,115000.0,11.720342437831228,9812.0
172,1,2,1150,9812,1.0,1962,98001,227000.0,23.134936812066858,9812.0
177,4,2,1890,9623,1.0,1969,98001,314950.0,32.728878728047384,2405.75
179,2,1,900,13531,1.0,1979,98001,174000.0,12.859359988175301,6765.5
181,3,2,1730,12821,1.0,1994,98001,313100.0,24.42087200686374,4273.666666666667
184,4,3,2000,13300,1.0,1968,98001,290000.0,21.804511278195488,3325.0
185,3,2,1140,9800,1.0,1968,98001,206000.0,21.020408163265305,3266.6666666666665
186,4,3,3710,15935,1.0,2005,98001,485000.0,30.436146846564167,3983.75
187,5,3,3720,25474,2.0,1986,98001,500000.0,19.627855853026617,5094.8
188,3,1,1540,37950,1.0,1959,98001,429000.0,11.304347826086957,12650.0
189,3,3,1808,19200,1.0,2005,98001,270000.0,14.0625,6400.0
190,3,2,1510,9837,2.0,1989,98001,227000.0,23.07614109992884,3279.0
191,4,3,2600,8572,2.0,2003,98001,300000.0,34.997666822211855,2143.0
193,5,3,2840,6010,2.0,2003,98001,372000.0,61.89683860232945,1202.0
196,3,1,1980,18730,1.0,1943,98001,207000.0,11.051788574479446,6243.333333333333
197,4,3,3030,9500,2.0,1989,98001,367950.0,38.73157894736842,2375.0
199,3,3,1970,9607,2.0,1988,98001,289000.0,30.082231706047672,3202.3333333333335
200,3,2,1810,8232,1.0,1988,98001,300000.0,36.44314868804665,2744.0
201,4,3,2620,5457,2.0,2003,98001,321500.0,58.91515484698552,1364.25
202,3,2,1920,9306,1.0,1984,98001,245000.0,26.327100795185903,3102.0
205,0,0,844,4269,1.0,1913,98001,139950.0,32.78285312719606,4269.0
207,3,2,1510,9153,1.0,1974,98001,234950.0,25.669179503987763,3051.0
210,3,2,1440,11325,1.0,1966,98001,246000.0,21.721854304635762,3775.0
211,3,2,1290,8250,1.0,1983,98001,220000.0,26.666666666666668,2750.0
214,3,2,2030,14400,1.0,1969,98001,250000.0,17.36111111111111,4800.0
215,3,2,1380,9000,2.0,1946,98001,215500.0,23.944444444444443,3000.0
217,4,3,2360,7350,1.0,1965,98001,285000.0,38.775510204081634,1837.5
219,4,3,2190,14937,2.0,1993,98001,367300.0,24.58994443328647,3734.25
220,3,2,2740,23505,2.0,1988,98001,535000.0,22.761114656456073,7835.0
221,3,3,2014,4500,2.0,2005,98001,321000.0,71.33333333333333,1500.0
223,3,3,1770,9450,1.0,1988,98001,289950.0,30.682539682539684,3150.0
226,4,2,2680,18768,1.0,1965,98001,360000.0,19.18158567774936,4692.0
227,3,2,2180,9220,1.0,1938,98001,389000.0,42.19088937093275,3073.3333333333335
231,4,3,3230,12651,2.0,2002,98001,409000.0,32.32946012172951,3162.75
234,4,3,2068,7242,2.0,1976,98001,276000.0,38.11101905550953,1810.5
235,3,2,1580,14040,1.0,1980,98001,264500.0,18.83903133903134,4680.0
237,3,1,1080,16000,1.0,1952,98001,225000.0,14.0625,5333.333333333333
238,3,2,1760,9282,1.0,1947,98001,215000.0,23.163111398405515,3094.0
239,4,3,3170,10688,2.0,2001,98001,455000.0,42.571107784431135,2672.0
240,4,3,2181,5521,2.0,2006,98001,340000.0,61.583046549538125,1380.25
241,3,2,1470,8350,1.0,1990,98001,212000.0,25.389221556886227,2783.3333333333335
242,3,3,1550,4486,2.0,2000,98001,280000.0,62.41640659830584,1495.3333333333333
243,3,2,1840,16679,1.0,1989,98001,274950.0,16.48480124707716,5559.666666666667
244,3,3,1600,4271,2.0,2000,98001,280000.0,65.55841723249824,1423.6666666666667
245,3,3,1940,10350,1.0,1979,98001,295000.0,28.502415458937197,3450.0
246,4,3,2717,4513,2.0,2005,98001,338500.0,75.00553955240417,1128.25
249,3,2,1800,9216,1.0,1950,98001,237000.0,25.716145833333332,3072.0
250,3,2,1430,10850,1.0,1994,98001,234950.0,21.65437788018433,3616.6666666666665
251,3,2,2710,9088,1.0,1965,98001,278000.0,30.589788732394368,3029.3333333333335
252,3,1,1730,7210,1.0,1963,98001,210000.0,29.12621359223301,2403.3333333333335
257,3,2,1910,17003,1.5,1963,98001,299000.0,17.58513203552314,5667.666666666667
259,4,2,2370,10140,1.0,1968,98001,305000.0,30.078895463510847,2535.0
260,3,3,1950,8251,2.0,1990,98001,287600.0,34.85638104472185,2750.3333333333335
261,3,2,1790,7879,1.5,1998,98001,258000.0,32.74527224267039,2626.3333333333335
263,3,2,1660,15600,2.0,1981,98001,220000.0,14.102564102564102,5200.0
265,3,3,2650,12247,2.0,2002,98001,425000.0,34.70237609210419,4082.3333333333335
266,4,3,2240,6944,1.0,1979,98001,287500.0,41.40264976958525,1736.0
267,3,3,1900,16117,1.0,1958,98001,255000.0,15.821803065086554,5372.333333333333
268,3,3,1600,7982,2.0,1993,98001,315000.0,39.463793535454776,2660.6666666666665
269,3,1,2510,20000,2.0,1961,98001,363000.0,18.15,6666.666666666667
270,3,1,1690,20063,1.5,1913,98001,240000.0,11.962318696107262,6687.666666666667
271,3,1,1660,7210,1.0,1963,98001,225000.0,31.206657420249652,2403.3333333333335
272,4,3,2240,7200,1.0,1967,98001,260000.0,36.111111111111114,1800.0
273,3,2,1830,11331,1.0,1965,98001,230000.0,20.298296708145795,3777.0
274,3,2,1670,8511,1.0,1985,98001,260000.0,30.548701680178592,2837.0
275,3,3,1600,6848,2.0,2000,98001,290000.0,42.348130841121495,2282.6666666666665
278,3,2,1200,9566,1.0,1995,98001,222400.0,23.2490068994355,3188.6666666666665
280,4,3,2130,9013,2.0,1988,98001,310000.0,34.39476311993787,2253.25
281,3,1,1580,7560,1.0,1976,98001,254999.0,33.730026455026454,2520.0
282,3,1,1390,16000,1.0,1960,98001,230000.0,14.375,5333.333333333333
283,3,1,1370,10708,1.0,1969,98001,205000.0,19.144564811355995,3569.3333333333335
285,3,1,1250,7820,1.0,1967,98001,225000.0,28.77237851662404,2606.6666666666665
288,3,2,2250,7904,1.5,1998,98001,328000.0,41.497975708502025,2634.6666666666665
289,4,3,2575,4725,2.0,2011,98001,359000.0,75.97883597883597,1181.25
290,3,3,1750,6351,2.0,2012,98001,250000.0,39.36387970398363,2117.0
291,4,3,2030,4596,2.0,2014,98001,349500.0,76.0443864229765,1149.0
292,4,3,2050,4000,2.0,2014,98001,355000.0,88.75,1000.0
293,4,3,2240,4800,2.0,2014,98001,331210.0,69.00208333333333,1200.0
294,4,3,2789,3960,2.0,2007,98001,272000.0,68.68686868686869,990.0
296,3,3,2217,8019,2.0,2009,98001,275000.0,34.29355281207133,2673.0
298,3,3,2594,4455,2.0,2012,98001,351000.0,78.78787878787878,1485.0
299,3,3,1794,4769,2.0,2005,98001,254950.0,53.45984483120151,1589.6666666666667
301,4,3,2050,4000,2.0,2014,98001,370228.0,92.557,1000.0
304,4,3,1660,6724,2.0,2009,98001,255000.0,37.92385484830458,1681.0
305,4,3,2891,6499,2.0,2014,98001,415000.0,63.85597784274504,1624.75
306,3,3,2432,9391,2.0,2005,98001,427000.0,45.46906612714301,3130.3333333333335
307,4,3,2502,8306,2.0,2013,98001,453000.0,54.53888755116783,2076.5
308,4,4,3828,18900,2.5,2014,98001,552900.0,29.253968253968253,4725.0
309,4,3,3056,11385,2.0,2014,98001,524225.0,46.045234958278435,2846.25
310,4,4,2796,3520,2.5,2013,98001,349950.0,99.41761363636364,880.0
311,4,3,2650,8685,2.0,2006,98001,424000.0,48.81980426021877,2171.25
312,4,3,2233,6025,2.0,2012,98001,317500.0,52.697095435684645,1506.25
313,3,3,1930,4000,2.0,2014,98001,345500.0,86.375,1333.3333333333333
315,4,3,2628,11466,2.0,2014,98001,499160.0,43.53392639106925,2866.5
316,4,3,2303,3680,2.0,2013,98001,329995.0,89.6725543478261,920.0
317,4,3,1912,5000,2.0,2012,98001,353000.0,70.6,1250.0
318,4,3,2425,9017,2.0,2013,98001,447500.0,49.628479538649216,2254.25
320,4,3,2820,6983,2.0,2013,98001,457000.0,65.44465129600458,1745.75
321,3,2,1936,6612,2.0,2014,98001,274900.0,41.575922565033274,2204.0
322,4,3,1934,5677,2.0,2013,98001,280000.0,49.32182490752158,1419.25
323,2,1,828,4524,1.0,1968,98001,110000.0,24.31476569407604,2262.0
324,4,3,2050,4000,2.0,2014,98001,353500.0,88.375,1000.0
325,4,3,1987,6000,2.0,2011,98001,255000.0,42.5,1500.0
326,4,4,3906,9674,2.0,2014,98001,549950.0,56.84825304941079,2418.5
327,4,3,4073,17334,2.0,2008,98001,510000.0,29.421945309795777,4333.5
328,4,3,1889,6000,2.0,2012,98001,277950.0,46.325,1500.0
329,3,2,1824,7120,1.0,2010,98001,375900.0,52.79494382022472,2373.3333333333335
330,3,3,1322,6006,2.0,2009,98001,215000.0,35.7975357975358,2002.0
332,4,3,2301,6452,2.0,2010,98001,375500.0,58.19900805951643,1613.0
333,4,3,2632,4117,2.0,2013,98001,349950.0,85.0012144765606,1029.25
334,4,3,2656,21195,2.0,2014,98001,495000.0,23.35456475583864,5298.75
335,3,3,2244,4079,2.0,2012,98001,269950.0,66.18043638146605,1359.6666666666667
337,4,3,2940,9172,2.0,2006,98001,480000.0,52.33318796336677,2293.0
338,4,3,2260,4440,2.0,2014,98001,341780.0,76.97747747747748,1110.0
339,4,3,3118,7866,2.0,2014,98001,541800.0,68.8787185354691,1966.5
340,3,2,1710,4697,1.5,1941,98002,233000.0,49.60613157334469,1565.6666666666667
341,3,1,1300,8316,1.0,1954,98002,225000.0,27.056277056277057,2772.0
342,4,2,2010,7312,1.0,1976,98002,250000.0,34.19037199124727,1828.0
343,3,2,1210,10588,1.0,1958,98002,200000.0,18.889308651303363,3529.3333333333335
344,3,1,1200,8316,1.0,1953,98002,214000.0,25.733525733525735,2772.0
345,3,2,1420,8738,1.0,1966,98002,234000.0,26.77958342870222,2912.6666666666665
346,3,1,990,7420,1.0,1960,98002,208000.0,28.032345013477087,2473.3333333333335
347,3,2,1320,10454,1.0,1968,98002,249950.0,23.90950832217333,3484.6666666666665
348,4,2,1600,9289,1.0,1959,98002,224000.0,24.114544084400904,2322.25
349,4,2,2460,5921,1.0,1948,98002,247500.0,41.8003715588583,1480.25
350,3,1,1010,8581,1.0,1920,98002,180000.0,20.976576156625104,2860.3333333333335
352,3,2,1770,8868,1.0,1959,98002,250000.0,28.19124943617501,2956.0
353,3,1,1020,6120,1.0,1967,98002,208000.0,33.98692810457516,2040.0
354,3,2,1070,8100,1.0,1957,98002,183000.0,22.59259259259259,2700.0
355,2,2,1680,5756,2.0,1910,98002,210000.0,36.48366921473245,2878.0
356,6,3,2400,9373,2.0,1991,98002,280000.0,29.873039581777444,1562.1666666666667
357,6,3,2400,9373,2.0,1991,98002,300000.0,32.00682812333298,1562.1666666666667
358,2,1,1020,5130,1.0,1948,98002,175000.0,34.113060428849906,2565.0
360,5,2,2140,12058,1.0,1951,98002,250750.0,20.79532260739758,2411.6
361,3,2,1070,6601,1.0,1985,98002,219950.0,33.32070898348735,2200.3333333333335
362,3,2,2190,6000,1.5,1920,98002,255000.0,42.5,2000.0
363,3,2,1850,8250,1.0,1952,98002,257200.0,31.175757575757576,2750.0
364,3,2,1200,6074,1.0,1968,98002,222000.0,36.54922621007573,2024.6666666666667
365,3,1,970,9360,1.0,1942,98002,206000.0,22.00854700854701,3120.0
366,3,1,1220,6000,1.0,1968,98002,213500.0,35.583333333333336,2000.0
367,3,1,1260,7265,1.0,1954,98002,188200.0,25.9050240880936,2421.6666666666665
368,4,2,2460,11250,1.0,1959,98002,276000.0,24.533333333333335,2812.5
370,4,2,2010,7561,1.5,1921,98002,245000.0,32.403121280253934,1890.25
371,5,3,2630,8470,1.5,1968,98002,270000.0,31.877213695395515,1694.0
372,3,2,1600,7500,1.0,1998,98002,285000.0,38.0,2500.0
373,3,2,1280,4366,2.0,1985,98002,183000.0,41.914796152084286,1455.3333333333333
374,2,1,920,5889,1.0,1950,98002,156000.0,26.490066225165563,2944.5
375,4,2,1650,6900,1.0,1978,98002,238000.0,34.492753623188406,1725.0
376,3,2,1490,7929,1.0,1989,98002,245000.0,30.899230672215918,2643.0
377,3,1,1180,8775,1.0,1966,98002,190000.0,21.65242165242165,2925.0
378,3,2,1070,6110,1.0,1968,98002,195000.0,31.914893617021278,2036.6666666666667
379,3,2,1550,6225,1.0,1949,98002,199950.0,32.12048192771084,2075.0
380,3,2,1580,10517,1.0,1957,98002,233500.0,22.202148901778074,3505.6666666666665
381,3,2,1660,8738,1.0,1959,98002,235000.0,26.894026092927444,2912.6666666666665
382,2,1,720,4120,1.0,1915,98002,150000.0,36.407766990291265,2060.0
383,3,2,1280,5065,2.0,1983,98002,215000.0,42.44817374136229,1688.3333333333333
384,4,2,2060,6400,1.0,1977,98002,257500.0,40.234375,1600.0
385,2,1,1060,6000,1.0,1908,98002,111300.0,18.55,3000.0
386,4,3,1594,7665,1.0,1975,98002,269000.0,35.09458577951729,1916.25
387,4,2,1520,8800,1.0,1960,98002,230000.0,26.136363636363637,2200.0
388,4,2,1500,12560,1.0,1977,98002,239000.0,19.028662420382165,3140.0
390,4,3,2420,8700,1.5,1914,98002,279950.0,32.17816091954023,2175.0
391,4,2,1980,9714,1.0,1977,98002,286285.0,29.47138151122092,2428.5
392,2,1,810,6697,1.0,1923,98002,194900.0,29.102583246229656,3348.5
393,3,2,1280,4452,2.0,1985,98002,187000.0,42.00359389038634,1484.0
394,4,3,2260,9686,1.0,1965,98002,224950.0,23.224241172826762,2421.5
395,2,1,780,6685,1.0,1948,98002,135000.0,20.19446522064323,3342.5
396,3,2,1200,7800,1.0,1958,98002,195000.0,25.0,2600.0
397,3,1,990,9599,1.0,1959,98002,245000.0,25.523492030419835,3199.6666666666665
398,2,2,1280,6774,1.0,1991,98002,193000.0,28.491290227339828,3387.0
399,3,2,1340,4320,1.0,1912,98002,186000.0,43.05555555555556,1440.0
400,6,5,3560,14010,2.0,1989,98002,389000.0,27.765881513204853,2335.0
401,3,2,1560,9706,1.0,1963,98002,288000.0,29.67236760766536,3235.3333333333335
402,3,2,1480,10588,1.0,1957,98002,224000.0,21.156025689459767,3529.3333333333335
403,3,2,1330,6301,1.0,1998,98002,236000.0,37.454372321853675,2100.3333333333335
404,3,1,1150,4800,1.5,1938,98002,200000.0,41.666666666666664,1600.0
405,4,3,2300,7609,2.0,1976,98002,224000.0,29.438822447102115,1902.25
406,4,2,2050,12581,2.0,1978,98002,305000.0,24.242905969318816,3145.25
408,3,2,1230,7420,1.5,1913,98002,200000.0,26.954177897574123,2473.3333333333335
409,1,1,1080,3230,1.0,1963,98002,112000.0,34.6749226006192,3230.0
410,3,1,1864,6978,1.0,1958,98002,235000.0,33.67727142447693,2326.0
411,4,2,1420,10300,2.0,1950,98002,225000.0,21.844660194174757,2575.0
414,3,1,920,7314,1.0,1960,98002,208000.0,28.438610883237626,2438.0
415,4,2,2170,5404,1.5,1920,98002,250000.0,46.2620281273131,1351.0
416,3,1,1010,8800,1.0,1968,98002,205000.0,23.295454545454547,2933.3333333333335
417,3,2,1280,3640,2.0,1983,98002,184500.0,50.68681318681319,1213.3333333333333
418,3,1,990,7520,1.0,1958,98002,222000.0,29.52127659574468,2506.6666666666665
419,3,2,1200,9266,1.0,1960,98002,235000.0,25.36153680120872,3088.6666666666665
420,4,2,2115,6234,2.0,1998,98002,272000.0,43.631697144690406,1558.5
421,2,2,1700,3171,1.0,1927,98002,189000.0,59.602649006622514,1585.5
422,5,2,1970,8925,1.0,1977,98002,255000.0,28.571428571428573,1785.0
423,3,2,1280,4031,2.0,1985,98002,185000.0,45.89431902753659,1343.6666666666667
424,3,2,1640,4420,2.0,1918,98002,250000.0,56.56108597285068,1473.3333333333333
425,4,3,1788,10183,2.0,1990,98002,294400.0,28.91092998134145,2545.75
427,4,2,2120,8554,1.0,1977,98002,249500.0,29.16764086976853,2138.5
429,3,1,1200,8316,1.0,1953,98002,190000.0,22.847522847522846,2772.0
430,4,3,2910,7712,1.0,1998,98002,292000.0,37.863070539419084,1928.0
431,3,3,2070,8400,2.0,1990,98002,250000.0,29.761904761904763,2800.0
433,2,1,1250,5208,1.0,1951,98002,150000.0,28.80184331797235,2604.0
434,3,2,1910,10583,1.5,1922,98002,247200.0,23.358216006803364,3527.6666666666665
435,4,3,2390,7309,2.0,1944,98002,269950.0,36.933917088521,1827.25
436,2,1,1070,4200,1.0,1983,98002,160000.0,38.095238095238095,2100.0
437,3,2,1640,6044,2.0,1996,98002,275000.0,45.49966909331569,2014.6666666666667
438,3,1,900,8100,1.0,1959,98002,179500.0,22.160493827160494,2700.0
439,3,2,1160,6134,1.0,1998,98002,250000.0,40.75643951744376,2044.6666666666667
441,2,1,1000,5026,1.0,1915,98002,159995.0,31.833465976920017,2513.0
442,3,2,1590,7810,1.0,1959,98002,255000.0,32.65044814340589,2603.3333333333335
443,4,3,1990,7252,1.0,1999,98002,270000.0,37.23110865968009,1813.0
444,3,3,1720,8550,1.0,1968,98002,270000.0,31.57894736842105,2850.0
445,3,2,1180,7300,1.0,1968,98002,209950.0,28.76027397260274,2433.3333333333335
446,3,2,1110,8724,1.0,1990,98002,235000.0,26.937184777624942,2908.0
447,3,2,1600,7711,1.0,1999,98002,268000.0,34.75554402801193,2570.3333333333335
448,3,2,1340,7473,1.0,1973,98002,223000.0,29.840760069583837,2491.0
449,3,1,1300,7420,1.0,1960,98002,208000.0,28.032345013477087,2473.3333333333335
451,4,3,2414,7693,2.0,2006,98002,292000.0,37.956583907448326,1923.25
452,3,3,1890,6088,2.0,1996,98002,265000.0,43.52825229960578,2029.3333333333333
